lastname,quantile
TASKIN,0.3769498471712316
ORHAN,0.37785228852882247
KARADAG,0.37875200956046773
AKYUZ,0.3796431412164895
ERCAN,0.3805298817951975
KALKAN,0.3814094895507568
GUNAY,0.38228288553840883
BAYRAKTAR,0.3831540752774593
ESEN,0.3840245795800511
UGUR,0.3848897074904196
IPEK,0.3857369712130824
AKPINAR,0.3865706118861279
AKKUS,0.3873996472829663
ERSOY,0.38821930076827577
OZBEK,0.38903691936409834
CAM,0.38984851897101763
AYGUN,0.3906591546829169
ONER,0.3914642854832569
SENER,0.39225969165383867
TEMEL,0.3930530843548229
CAGLAR,0.393842707155284
ACIKGOZ,0.3946319443977372
TASDEMIR,0.39541993928660885
ARI,0.39620369303739217
BUDAK,0.3969843623241111
EFE,0.39776419623514603
ERGIN,0.3985439230467342
AYHAN,0.399322214725737
TUNCER,0.40009979954839164
SEVINC,0.4008703800672336
SERT,0.4016400823706128
AKCAY,0.4024096133148774
ALTINTAS,0.4031658210879753
BASARAN,0.4039183874798862
AKCA,0.40466979719777296
GUR,0.4054107754295534
SENGUL,0.4061381520316058
TAN,0.4068639435618474
ATALAY,0.4075882571197249
AKMAN,0.4083080510809526
ERTURK,0.4090278022024016
KOYUNCU,0.40974322650620487
AKDEMIR,0.41045700147852926
ALTIN,0.41116929847848954
KARADENIZ,0.4118812527602205
AYAZ,0.41259235024637797
ARAS,0.41330299791485947
CIMEN,0.4140113322352927
KARAKOC,0.4147158323955349
GEZER,0.41541990415799035
BICER,0.41612127701438956
KACAR,0.41682055072163393
BAKIR,0.4175192246719769
TUNA,0.4182171489261931
MERT,0.41891158173844767
USTA,0.4196054362136901
AKDAG,0.42029914074970726
BARAN,0.4209920099100403
TURHAN,0.4216834225178986
AKDENIZ,0.42237421394896607
SEZGIN,0.42306322752921877
GUN,0.42374688613713757
DUNDAR,0.42442317630312504
UYAR,0.4250991237508831
KARAHAN,0.4257745357014078
KANDEMIR,0.42644954067403507
PEHLIVAN,0.4271237102709783
ONAL,0.4277954380005373
ORUC,0.428464531083708
BULBUL,0.42913343138787474
KUS,0.4298006181008946
BOLAT,0.430466048382989
METIN,0.4311225679911198
TASCI,0.4317734113285768
ARIKAN,0.43242281953344824
CAKAR,0.4330700429096075
SAVAS,0.4337171377664308
YESIL,0.43436123383874703
DINCER,0.43500505145250196
YUCE,0.4356466842375447
ERKAN,0.4362866462712192
ONDER,0.436925537310427
AKDOGAN,0.4375589876977436
SEVIM,0.438190703074024
DOGRU,0.4388209618978296
KUTLU,0.43944815767746026
ALTAY,0.4400734899267187
YALCINKAYA,0.4406984151980798
KURU,0.4413216482981834
ALTUNTAS,0.4419443673209429
BINGOL,0.4425636377415194
EKICI,0.4431794809798023
OKSUZ,0.4437922183341315
OZKAYA,0.4444046343901207
ATMACA,0.44501424444060694
ORAL,0.4456194419938901
ESER,0.44622408263005053
DEMIRBAS,0.4468277165314122
EKER,0.44743019375874976
DURAK,0.448025945140836
BOZ,0.4486167271085964
GEDIK,0.44920583832498867
VAROL,0.44979366434802076
DEMIRCAN,0.4503808477743728
FIRAT,0.45096685310681145
AKAY,0.45154940983706704
KOKSAL,0.4521263545563168
GUCLU,0.4526988439385847
TURKOGLU,0.45327060504461525
PARLAK,0.4538418520733018
GOKTAS,0.45441147119039876
SANLI,0.45498076900915574
ATAS,0.4555497455295727
OZDEN,0.4561169870389535
GURSOY,0.4566800516699139
UNSAL,0.4572426236434195
GULEC,0.45780421030201573
SOYLU,0.4583649187451492
SENOL,0.45892357087890645
OLMEZ,0.4594787529905914
AKINCI,0.4600268451189063
UGURLU,0.46057067468924345
SAHAN,0.4611130905468845
ADIGUZEL,0.4616547352885094
TORUN,0.4621963157704663
ERTAS,0.46273770347341925
YAVAS,0.46327896265703616
MERCAN,0.4638102615921121
TURKER,0.46434068231172526
BILGIC,0.4648708459926664
ENGIN,0.4654001957178128
KOROGLU,0.4659251115258668
DAGLI,0.466445764775943
ALP,0.46696455449564706
DEGIRMENCI,0.4674815877844256
SARAC,0.4679920665870675
AYYILDIZ,0.4684992895665304
OZSOY,0.46900434913717043
SOLMAZ,0.4695049962106074
USTUN,0.4700032014166601
MEMIS,0.4705005712470287
KESER,0.4709971271216026
SOLAK,0.4714916909464682
DEVECI,0.47198398426306437
ELMAS,0.4724761919001031
OCAK,0.4729682067581379
GOKMEN,0.4734580367874604
DAL,0.47394737415932825
ALAN,0.47443602609473734
OZGUR,0.4749246566102571
BAGCI,0.47541236607053544
ERGUL,0.47589744088442554
KAVAK,0.47638230149942223
BAYAR,0.47686418474980136
UYGUN,0.4773447828068203
TANRIVERDI,0.47782533802406063
AKTURK,0.47830130938498316
BAYSAL,0.47877629543099626
KOCAMAN,0.4792455837864461
AYTEKIN,0.4797144009043306
ERDEN,0.4801832180222151
GUNAYDIN,0.4806498717312767
GULMEZ,0.48111641834089164
PALA,0.4815786167129715
YANIK,0.4820406223060473
KARADUMAN,0.48250142838532034
ULUSOY,0.4829592785198651
GIRGIN,0.48341605765994305
SELCUK,0.4838718300652223
GUREL,0.4843274525312761
ERYILMAZ,0.48478281795865796
UYANIK,0.48523694103245835
TEMIZ,0.4856884937195385
TETIK,0.4861387612132585
OKUR,0.4865875935743931
PEKER,0.48703385554880735
KARABACAK,0.4874799033243283
ATAY,0.4879254370225051
KOSEOGLU,0.48837092788090336
ARIK,0.48881543342439215
OCAL,0.48925865377452077
AYAN,0.48970097448929734
YAGCI,0.4901427382869512
KARAASLAN,0.49058407368681833
SEVER,0.4910246593905587
SIRIN,0.49146428119927904
DEDE,0.4919021894168525
SAYIN,0.49233894096040187
TEZCAN,0.4927755211448365
CEYHAN,0.4932118014508205
OZBAY,0.49364795323746846
INCI,0.494083312488211
AVSAR,0.4945170438273641
CAGLAYAN,0.49494878311680895
TASKIRAN,0.49537756646152553
YESILYURT,0.4958059642482341
CAVDAR,0.49623179164822234
OK,0.49665618391562516
CALIK,0.49707723468029164
AKAN,0.4974978998869501
SALMAN,0.49791565198865895
ULKER,0.49833310421191707
OLGUN,0.49874847870590966
GENCER,0.4991637889402343
AKYILDIZ,0.4995750293955851
KUZU,0.4999854344752519
KOCYIGIT,0.5003916840963876
KURNAZ,0.5007966056843846
TOK,0.5012008418359227
CANDAN,1.0
